ID;Votes;Rank;Title;Runtime (min);Primary genre(s);Main cast
131;173105;82;Jodaeiye Nader az Simin (2011);;;
132;88818;82;The Treasure of the Sierra Madre (1948);126;Adventure, Drama, Western;"Humphrey Bogart; Walter Huston; Tim Holt"
133;127466;82;The Third Man (1949);93;Drama, Film-Noir, Mystery;"Orson Welles; Joseph Cotten; Alida Valli"
134;184206;82;The Great Escape (1963);172;Adventure, Drama, Thriller;"Steve McQueen; James Garner; Richard Attenborough"
135;126259;82;Metropolis (1927);153;Drama, Sci-Fi;"Brigitte Helm; Alfred Abel; Gustav Fröhlich"
136;125814;82;Det sjunde inseglet (1957);;;
137;113409;82;On the Waterfront (1954);108;Crime, Drama, Thriller;"Marlon Brando; Karl Malden; Lee J. Cobb"
138;101345;82;Incendies (2010);131;Drama, Mystery, War;"Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette"
139;196104;82;Some Like It Hot (1959);121;Comedy, Music, Romance;"Marilyn Monroe; Tony Curtis; Jack Lemmon"
140;124560;82;The Apartment (1960);125;Comedy, Drama, Romance;"Jack Lemmon; Shirley MacLaine; Fred MacMurray"
141;655576;82;Die Hard (1988);132;Action, Thriller;"Bruce Willis; Alan Rickman; Bonnie Bedelia"
142;86910;82;Ran (1985);160;Action, Drama, War;"Tatsuya Nakadai; Akira Terao; Jinpachi Nezu"
143;240563;82;Chinatown (1974);130;Drama, Mystery, Thriller;"Jack Nicholson; Faye Dunaway; John Huston"
